ccm,scm,usm,coords
0,3,29,"[[1480, 1281], [1519, 1279], [1520, 1300], [1478, 1301]]"
0,3,30,"[[1480, 1301], [1519, 1299], [1520, 1320], [1478, 1321]]"
0,3,31,"[[1480, 1321], [1519, 1319], [1520, 1340], [1478, 1341]]"
0,3,32,"[[1480, 1351], [1519, 1349], [1520, 1370], [1478, 1371]]"
0,3,33,"[[1480, 1370], [1519, 1368], [1520, 1389], [1478, 1390]]"
0,3,34,"[[1480, 1390], [1519, 1388], [1520, 1409], [1478, 1410]]"
0,3,35,"[[1579, 1389], [1618, 1387], [1619, 1408], [1577, 1409]]"
0,3,36,"[[1579, 1371], [1618, 1369], [1619, 1390], [1577, 1391]]"
0,3,37,"[[1579, 1352], [1618, 1350], [1619, 1371], [1577, 1372]]"
0,3,38,"[[1579, 1320], [1618, 1318], [1619, 1339], [1577, 1340]]"
0,3,39,"[[1579, 1300], [1618, 1298], [1619, 1319], [1577, 1320]]"
0,3,40,"[[1579, 1281], [1618, 1279], [1619, 1300], [1577, 1301]]"
0,3,41,"[[1579, 1255], [1618, 1253], [1619, 1274], [1577, 1275]]"
0,3,42,"[[1579, 1235], [1618, 1233], [1619, 1254], [1577, 1255]]"
0,3,43,"[[1579, 1215], [1618, 1213], [1619, 1234], [1577, 1235]]"
0,3,44,"[[1356, 1213], [1384, 1211], [1385, 1229], [1354, 1230]]"
0,3,45,"[[1356, 1230], [1384, 1228], [1385, 1246], [1354, 1247]]"
0,3,46,"[[1356, 1248], [1384, 1246], [1385, 1264], [1354, 1265]]"
0,3,47,"[[1356, 1307], [1384, 1305], [1385, 1323], [1354, 1324]]"
0,3,48,"[[1356, 1324], [1384, 1322], [1385, 1340], [1354, 1341]]"
0,3,49,"[[970, 1420], [1009, 1418], [1010, 1439], [968, 1440]]"
0,3,50,"[[970, 1390], [1009, 1388], [1010, 1409], [968, 1410]]"
0,3,51,"[[970, 1369], [1009, 1367], [1010, 1388], [968, 1389]]"
0,3,52,"[[970, 1348], [1009, 1346], [1010, 1367], [968, 1368]]"
0,3,53,"[[970, 1322], [1009, 1320], [1010, 1341], [968, 1342]]"
0,3,54,"[[970, 1303], [1009, 1301], [1010, 1322], [968, 1323]]"
0,3,55,"[[970, 1282], [1009, 1280], [1010, 1301], [968, 1302]]"
0,3,56,"[[970, 1256], [1009, 1254], [1010, 1275], [968, 1276]]"
0,3,57,"[[970, 1236], [1009, 1234], [1010, 1255], [968, 1256]]"
0,3,58,"[[970, 1215], [1009, 1213], [1010, 1234], [968, 1235]]"
0,3,59,"[[1013, 1214], [1052, 1212], [1053, 1233], [1011, 1234]]"
0,3,60,"[[1013, 1235], [1052, 1233], [1053, 1254], [1011, 1255]]"
0,3,61,"[[1013, 1255], [1052, 1253], [1053, 1274], [1011, 1275]]"
